feature,importance
LTBP1,1.8275377528638236e-20
SFN,1.8275377528638236e-20
CREB5,1.8172706868364988e-20
GZMB,1.8147039203296678e-20
LGALS9,1.807003620809174e-20
FOXP3,1.807003620809174e-20
KLRK1,1.796736554781849e-20
TRAT1,1.794169788275018e-20
TRIM35,1.688932361494938e-20
PPP3CC,1.627329965330989e-20
TRGV4,1.5811281682080274e-20
NRL,1.5759946351943648e-20
PTPN7,1.540059904098728e-20
IL18,1.5246593050577406e-20
CD38,1.4887245739621035e-20
PLSCR1,1.4373892438254793e-20
STAT5B,1.4219886447844922e-20
MAPK14,1.39632097971618e-20
CD86,1.370653314647868e-20
XAF1,1.324451517524906e-20
TNFRSF1B,1.2423149893063071e-20
MAPK13,1.1293772630057338e-20
CD22,9.75371272595861e-21
ZAP70,9.548371405412113e-21
PIK3R3,8.624335462952876e-21
IL1B,8.418994142406379e-21
IRF8,8.290655817064818e-21
PTPN2,7.70029952049364e-21
ALDH1B1,7.494958199947142e-21
IGHV4-59,6.9816048985809e-21
SLAMF6,6.7249282478977785e-21
CTSW,6.570922257487906e-21
IL7,6.339913271873096e-21
NFATC3,5.852227635575166e-21
FCGR2B,5.4415449944821716e-21
CARD11,5.390209664345547e-21
TRGV2,5.338874334208923e-21
LYN,5.133533013662426e-21
MAPK11,4.004155750656693e-21
PRKCZ,3.9528204205200685e-21
PDCD1,3.85014976024682e-21
PPM1F,3.824482095178508e-21
RBL2,3.747479099973571e-21
RICTOR,1.8480718849184733e-21
MMP14,1.0267066027324853e-21
MCM7,0.0
PECAM1,0.0
AKT1,0.0
CDH1,0.0
ITPR1,0.0
CALM1,0.0
VCAM1,0.0
